Document,Section Header,Referenced Page Number,Zero Indexed Page Number,Classification,Section Text
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,FORWARD-LOOKING STATEMENTS,25,33,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,THE SPECIAL MEETING,26,18,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,"Date, Time and Place",26,34,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,Purpose of the Special Meeting,26,34,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,Record Date; Shares Entitled to Vote; Quorum,26,34,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,Vote Required; Abstentions and Broker Non-Votes,26,34,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,Stock Ownership and Interests of Certain Persons,27,35,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,Voting of Proxies,27,35,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,Revocability of Proxies,28,36,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,Board of Directors’ Recommendation,29,37,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,Solicitation of Proxies,29,37,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,Anticipated Date of Completion of the Merger,29,37,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,Appraisal Rights,29,37,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,Delisting and Deregistration of McAfee Class A Common Stock,30,38,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,Other Matters,30,38,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,Householding of Special Meeting Materials,30,38,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,Questions and Additional Information,30,38,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,THE MERGER,31,39,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,Parties Involved in the Merger,31,39,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,Effect of the Merger,32,40,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,Effect on McAfee If the Merger Is Not Completed,32,40,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,Merger Consideration,33,41,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,Treatment of Vested Management Incentive Units and Class A Units,35,43,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,Background of the Merger,35,43,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,Recommendation of the Board of Directors and Reasons for the Merger,47,55,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,Opinion of Goldman Sachs & Co. LLC,50,58,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,Certain Projected Financial Information,60,68,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,Interests of Executive Officers and Directors of McAfee in the Merger,63,71,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,Financing of the Merger,67,75,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,Closing and Effective Time,70,78,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,Appraisal Rights,70,78,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,Accounting Treatment,76,84,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,Material U.S. Federal Income Tax Consequences of the Merger,76,84,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,Regulatory Approvals Required for the Merger,79,87,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,PROPOSAL 1: ADOPTION OF THE MERGER AGREEMENT,82,90,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,Effects of the Merger; Directors and Officers; Certificate of Incorporation; Bylaws,82,90,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,Closing and Effective Time,83,91,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,Merger Consideration,83,91,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,Treatment of Vested Management Incentive Units and Class A Units,85,93,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,Exchange and Payment Procedures,85,93,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,Withholding,86,94,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,Representations and Warranties,87,95,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,Conduct of Business Pending the Merger,90,98,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,The “Go Shop” Period—Solicitation of Other Offers,92,100,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,The “No Shop” Period—No Solicitation of Other Offers,94,102,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,The Board of Directors’ Recommendation; Adverse Recommendation Change,95,103,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,Employee Benefits,97,105,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,Efforts to Close the Merger,98,106,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,Cooperation with Debt/Preferred Equity Financing,99,107,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,Treatment of Certain Indebtedness,101,109,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,Indemnification and Insurance,102,110,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,Other Covenants,103,111,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,Conditions to the Closing of the Merger,103,111,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,Termination of the Merger Agreement,105,113,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,Termination Fee,106,114,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,Specific Performance,107,115,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,Limitations of Liability; Costs and Expenses,108,116,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,Amendment and Waiver,109,117,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,"Governing Law and Venue, Waiver of Jury Trial",109,117,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,The Voting Agreement,110,118,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,Amendment to Tax Receivable Agreement and OpCo LLC Agreement,110,118,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,PROPOSAL 2: THE McAfee COMPENSATION PROPOSAL,113,121,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,Vote Required and Board of Directors Recommendation,113,121,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,PROPOSAL 3: ADJOURNMENT OF THE SPECIAL MEETING,114,122,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,SECURITY OWNERSHIP OF CERTAIN BENEFICIAL OWNERS AND MANAGEMENT,115,123,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,FUTURE STOCKHOLDER PROPOSALS,118,126,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,WHERE YOU CAN FIND MORE INFORMATION,119,127,UNDEFINED,UNDEFINED
McAfee Corp._20220104_DEFM14A_19754815_4361365.Pdf,MISCELLANEOUS,121,129,UNDEFINED,UNDEFINED
