Document,Section Header,Referenced Page Number,Zero Indexed Page Number,Classification,Section Text
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Vote Required and the Impact of Abstentions,25,29,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Broker Non-Votes,26,30,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Shares Held by Aerojet Rocketdyne’s Directors and Executive Officers,26,30,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Voting and Proxies,26,30,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Revocability of Proxies,27,31,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Board of Directors’ Recommendation,27,31,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Solicitation of Proxies,27,31,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Anticipated Date of Completion of the Merger,28,32,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Appraisal Rights,28,32,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Other Matters,28,32,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf","Important Notice Regarding the Availability of Proxy Materials for the Stockholder Meeting to be Held on March 9, 2021",28,32,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Assistance,29,33,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",PROPOSAL 1: ADOPTION OF THE MERGER AGREEMENT AND THE TRANSACTIONS CONTEMPLATED THEREBY,30,34,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",PROPOSAL 2: ADJOURNMENT OF THE SPECIAL MEETING,31,35,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf","PROPOSAL 3: NON-BINDING, ADVISORY VOTE TO APPROVE CERTAIN MERGER-RELATED EXECUTIVE COMPENSATION ARRANGEMENTS",32,36,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",THE MERGER,33,37,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Parties Involved in the Merger,33,37,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Effect of the Merger,33,37,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Effect on Aerojet Rocketdyne if the Merger is Not Completed,34,38,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Merger Consideration,34,38,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Pre-Closing Cash Dividend,35,39,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Background of the Merger,35,39,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Recommendation of the Board of Directors and Reasons for the Merger,52,56,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Opinion of Citigroup Global Markets Inc.,57,61,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Opinion of Evercore Group L.L.C.,64,68,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Certain Unaudited Prospective Financial Information,73,77,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Interests of Aerojet Rocketdyne’s Directors and Executive Officers in the Merger,79,83,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Certain Related Party Transactions,85,89,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Closing and Effective Time of the Merger,85,89,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Appraisal Rights,86,90,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Accounting Treatment,90,94,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Material U.S. Federal Income Tax Consequences of the Merger and Pre-Closing Dividend,90,94,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Regulatory Approvals Required for the Merger,94,98,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Merger Litigation,95,99,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",THE MERGER AGREEMENT,97,101,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Explanatory Note Regarding the Merger Agreement,97,101,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",The Merger,97,37,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Merger Consideration,97,101,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Directors and Officers; Certificate of Incorporation; Bylaws,98,102,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Treatment of Equity Awards,98,102,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Treatment of Convertible Notes,100,104,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Stockholders Seeking Appraisal,101,105,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Payment for the Shares,101,105,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Representations and Warranties,102,106,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Conduct of Business Pending the Merger,103,107,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",No Solicitation; Acquisition Proposals,107,111,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Stockholders’ Meeting; No Change in Board Recommendation,109,113,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Efforts to Consummate the Merger,112,116,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Employee Matters; Benefit Plans,113,117,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Indemnification and Insurance,115,119,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Financing; No Financing Condition,115,119,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Other Covenants,116,120,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Conditions to the Merger,116,120,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Termination of the Merger Agreement,119,123,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Termination Fees and Expenses,122,126,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Amendment and Waiver,123,127,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",SECURITY OWNERSHIP OF CERTAIN BENEFICIAL OWNERS AND MANAGEMENT,124,128,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Beneficial Owners of 5% or More,124,128,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Security Ownership of Officers and Directors,125,129,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",FUTURE STOCKHOLDER PROPOSALS,126,130,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",WHERE YOU CAN FIND MORE INFORMATION,127,131,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",MISCELLANEOUS,128,132,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Annex A - Agreement and Plan of Merger,A-1,139,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Annex B - Opinion of Citigroup Global Markets Inc.,B-1,225,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Annex C - Opinion of Evercore Group L.L.C.,C-1,223,UNDEFINED,UNDEFINED
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Annex D - Section 262 of the Delaware General Corporation Law,D-1,228,UNDEFINED,UNDEFINED
